Profile_ID,WRB,theta,h
52663,Nitisols,0.602,0.1
52663,Nitisols,0.551,1
52663,Nitisols,0.456,3
52663,Nitisols,0.369,10
52663,Nitisols,0.343,20
52663,Nitisols,0.325,50
52663,Nitisols,0.309,250
52663,Nitisols,0.184,1500
52919,Nitisols,0.64,0.1
52919,Nitisols,0.604,1
52919,Nitisols,0.481,3
52919,Nitisols,0.388,10
52919,Nitisols,0.357,20
52919,Nitisols,0.333,50
52919,Nitisols,0.301,250
52919,Nitisols,0.283,1500
52940,Nitisols,0.584,0.1
52940,Nitisols,0.564,1
52940,Nitisols,0.511,3
52940,Nitisols,0.405,10
52940,Nitisols,0.354,20
52940,Nitisols,0.325,50
52940,Nitisols,0.287,250
52940,Nitisols,0.275,1500
52878,Solonetz,0.304,0.1
52878,Solonetz,0.282,1
52878,Solonetz,0.215,3
52878,Solonetz,0.136,10
52878,Solonetz,0.11,20
52878,Solonetz,0.091,50
52878,Solonetz,0.058,250
52878,Solonetz,0.055,1500
53066,Solonetz,0.413,0.1
53066,Solonetz,0.404,1
53066,Solonetz,0.358,3
53066,Solonetz,0.177,10
53066,Solonetz,0.114,20
53066,Solonetz,0.081,50
53066,Solonetz,0.013,250
53066,Solonetz,0.003,1500
53076,Solonetz,0.44,0.1
53076,Solonetz,0.422,1
53076,Solonetz,0.404,3
53076,Solonetz,0.315,10
53076,Solonetz,0.224,20
53076,Solonetz,0.209,50
53076,Solonetz,0.055,250
53076,Solonetz,0.052,1500
